t_sec,Vt_ftps,sp_ftps,throttle
0.1,512.6314763984883,500.0,0.0
0.2,512.8342638833755,500.0,0.0
0.30000000000000004,513.1100748345426,500.0,0.0
0.4,513.4508241987681,500.0,0.0
0.5,513.8482331437382,500.0,0.0
0.6,514.2948157823428,500.0,0.0
0.7,514.7838026655035,500.0,0.0
0.7999999999999999,515.3090718009507,500.0,0.0
0.8999999999999999,515.8650864323433,500.0,0.0
0.9999999999999999,516.4468388954874,500.0,0.0
1.0999999999999999,517.0497999411449,500.0,0.0
1.2,517.6698729782804,500.0,0.0
1.3,518.3033527486405,500.0,0.0
1.4000000000000001,518.946887994217,500.0,0.034238334745168686
1.5000000000000002,519.5974477241994,500.0,0.0
1.6000000000000003,520.2522907281481,500.0,0.0
1.7000000000000004,520.9089380179199,500.0,0.09601183235645294
1.8000000000000005,521.5651479128394,500.0,0.0
1.9000000000000006,522.218893511196,500.0,0.0
2.0000000000000004,522.8683423167406,500.0,0.0
2.1000000000000005,523.5118378117761,500.0,0.0
2.2000000000000006,524.1478827890088,500.0,0.0
2.3000000000000007,524.7751242727874,500.0,0.0
2.400000000000001,525.3923398769399,500.0,0.0
2.500000000000001,525.9984254613365,500.0,0.0
2.600000000000001,526.5923839627137,500.0,0.0
2.700000000000001,527.1733152873787,500.0,0.0
2.800000000000001,527.7404071642865,500.0,0.0
2.9000000000000012,528.2929268667851,500.0,0.0
3.0000000000000013,528.8302137201612,500.0,0.0
3.1000000000000014,529.3516723200883,500.0,0.0
3.2000000000000015,529.856766394272,500.0,0.0
3.3000000000000016,530.3450132460782,500.0,0.0
3.4000000000000017,530.8159787247893,500.0,0.0
3.5000000000000018,531.2692726705483,500.0,0.0
3.600000000000002,531.7045447927131,500.0,0.0
3.700000000000002,532.1214809402678,500.0,0.0
3.800000000000002,532.5197997235007,500.0,0.0
3.900000000000002,532.8992494554321,500.0,0.0
4.000000000000002,533.2596053826572,500.0,0.0
4.100000000000001,533.6006671781524,500.0,0.0
4.200000000000001,533.922256671208,500.0,0.0
4.300000000000001,534.2242157920036,500.0,0.0
4.4,534.5064047104833,500.0,0.0
4.5,534.7687001511144,500.0,0.0
4.6,535.0109938668661,500.0,0.0
4.699999999999999,535.233191257318,500.0,0.0
4.799999999999999,535.4352101172478,500.0,0.0
4.899999999999999,535.6169795033353,500.0,0.0
4.999999999999998,535.7784387077936,500.0,0.0
5.099999999999998,535.9195363288021,500.0,0.0
5.1999999999999975,536.0402294285684,500.0,0.0
5.299999999999997,536.1404827707239,500.0,0.0
5.399999999999997,536.2202681295356,500.0,0.0
5.4999999999999964,536.2795636641345,500.0,0.0
5.599999999999996,536.3183533516025,500.0,0.0
5.699999999999996,536.3366264733437,500.0,0.0
5.799999999999995,536.3343771496924,500.0,0.0
5.899999999999995,536.3116039181914,500.0,0.0
5.999999999999995,536.2683093514036,500.0,0.0
6.099999999999994,536.2044997105122,500.0,0.0
6.199999999999994,536.1201846315575,500.0,0.0
6.299999999999994,536.0153768407374,500.0,0.0
6.399999999999993,535.8900918959285,500.0,0.0
6.499999999999993,535.7443479526888,500.0,0.0
6.5999999999999925,535.5786705971219,500.0,0.0
6.699999999999992,535.394531804342,500.0,0.0
6.799999999999992,535.1937527999725,500.0,0.0
6.8999999999999915,534.977981543184,500.0,0.0
6.999999999999991,534.7487091593275,500.0,0.0
7.099999999999991,534.5072848210528,500.0,0.0
7.19999999999999,534.2549292231402,500.0,0.0
7.29999999999999,533.9927467829073,500.0,0.0
7.39999999999999,533.7217366858786,500.0,0.0
7.499999999999989,533.4428028853197,500.0,0.0
7.599999999999989,533.1567631541491,500.0,0.0
7.699999999999989,532.864357278568,500.0,0.0
7.799999999999988,532.5662544744121,500.0,0.0
7.899999999999988,532.2630600996464,500.0,0.0
7.999999999999988,531.955321729556,500.0,0.0
8.099999999999987,531.643534654928,500.0,0.0
8.199999999999987,531.3281468578622,500.0,0.0
8.299999999999986,531.0095635146974,500.0,0.0
8.399999999999986,530.6881510708857,500.0,0.0
8.499999999999986,530.3642409284089,500.0,0.0
8.599999999999985,530.0381327825055,500.0,0.0
8.699999999999985,529.7100976409969,500.0,0.0
8.799999999999985,529.3803805563535,500.0,0.0
8.899999999999984,529.0492030977931,500.0,0.0
8.999999999999984,528.7167655881087,500.0,0.0
9.099999999999984,528.3832491275945,500.0,0.0
9.199999999999983,528.0488174253076,500.0,0.0
9.299999999999983,527.7136184559896,500.0,0.0
9.399999999999983,527.3777859592292,500.0,0.0
9.499999999999982,527.0414407958733,500.0,0.0
9.599999999999982,526.7046921752722,500.0,0.0
9.699999999999982,526.3676387656473,500.0,0.0
9.799999999999981,526.0303696987075,500.0,0.0
9.89999999999998,525.6929654785797,500.0,0.0
9.99999999999998,525.355498804162,500.0,0.0
10.09999999999998,525.018035313145,500.0,0.0
10.19999999999998,524.6806342551555,500.0,0.0
10.29999999999998,524.3433491007767,500.0,0.4145428240299225
10.399999999999979,524.0062280925459,500.0,0.0
10.499999999999979,523.6693147434623,500.0,0.0
10.599999999999978,523.3336537654696,500.0,0.0
10.699999999999978,522.9991492126876,500.0,0.0
10.799999999999978,522.6647760302451,500.0,0.0
10.899999999999977,522.3305803346356,500.0,0.0
10.999999999999977,521.9966037173126,500.0,0.0
11.099999999999977,521.6628836761618,500.0,0.0
11.199999999999976,521.329454005909,500.0,0.0
11.299999999999976,520.9963451513337,500.0,0.0
11.399999999999975,520.6635845268258,500.0,0.0
11.499999999999975,520.3311968054965,500.0,0.0
11.599999999999975,519.9992041807408,500.0,0.0
