scenario,method,tol,window_s,sat,rho
Nominal,PPO,0.05,10.0,1.0,0.04391719582151409
Nominal,PPO+GENAI,0.05,10.0,1.0,0.042362527480904175
JumpStress,PPO,0.02,5.0,1.0,0.008054959362917051
JumpStress,PPO+GENAI,0.02,5.0,0.0,-0.14250116668240817
