t_sec,Vt_ftps
0.1,527.4296035024902
0.2,527.4272658309513
0.30000000000000004,527.3921070845797
0.4,527.3273090427126
0.5,527.2357514977782
0.6,527.1200407874564
0.7,526.9825356524519
0.7999999999999999,526.825370666657
0.8999999999999999,526.6504774644316
0.9999999999999999,526.4596039695048
1.0999999999999999,526.2543318114975
1.2,526.0360920991444
1.3,525.8061797038375
1.4000000000000001,525.5657661930162
1.5000000000000002,525.3159115400708
1.6000000000000003,525.05757472572
1.7000000000000004,524.7916233351627
1.8000000000000005,524.5188422456073
1.9000000000000006,524.2399414899652
2.0000000000000004,523.9555633744827
2.1000000000000005,523.6662889208092
2.2000000000000006,523.3726436963832
2.3000000000000007,523.0751030910308
2.400000000000001,522.7740970922149
2.500000000000001,522.4700146064464
2.600000000000001,522.1632073698819
2.700000000000001,521.8539934870779
2.800000000000001,521.5426606331883
2.9000000000000012,521.2294689515556
3.0000000000000013,520.9146536756256
3.1000000000000014,520.5984275013736
3.2000000000000015,520.2809827339526
3.3000000000000016,519.9624932300223
3.4000000000000017,519.6431161551882
3.5000000000000018,519.3229935741301
3.600000000000002,519.0022538893363
3.700000000000002,518.6810131428454
3.800000000000002,518.3593761940302
3.900000000000002,518.037437785221
4.000000000000002,517.7152835058405
4.100000000000001,517.3929906647141
4.200000000000001,517.0706290792945
4.300000000000001,516.7482617897116
4.4,516.4259457048051
4.5,516.1037321866175
4.6,515.781667579206
4.699999999999999,515.4597936870775
4.799999999999999,515.1381482080446
4.899999999999999,514.8167651248427
4.999999999999998,514.4956750594364
5.099999999999998,514.1749055935704
5.1999999999999975,513.8544815587785
5.299999999999997,513.5344252987621
5.399999999999997,513.2147569067675
5.4999999999999964,512.8954944403478
5.599999999999996,512.5766541156589
5.699999999999996,512.2582504832454
5.799999999999995,511.9402965870736
5.899999999999995,511.6228041084119
5.999999999999995,511.30578349600154
6.099999999999994,510.9892440838226
6.199999999999994,510.6731941976381
6.299999999999994,510.35764125138576
6.399999999999993,510.04259183438336
6.499999999999993,509.72805179022464
6.5999999999999925,509.41402628815626
6.699999999999992,509.1005198876527
6.799999999999992,508.78753659683696
6.8999999999999915,508.47507992533434
6.999999999999991,508.16315293208817
7.099999999999991,507.851758268619
7.19999999999999,507.54089821816075
7.29999999999999,507.2305747310664
7.39999999999999,506.9207894568396
7.499999999999989,506.61154377311277
7.599999999999989,506.30283881186284
7.699999999999989,505.99467548312856
7.799999999999988,505.6870544964663
7.899999999999988,505.3799763803611
7.999999999999988,505.07344149978644
8.099999999999987,504.7674500720902
8.199999999999987,504.46200218136585
8.299999999999986,504.1570977914535
8.399999999999986,503.85273675770077
8.499999999999986,503.54891883760223
8.599999999999985,503.2456437004241
8.699999999999985,502.94291093591085
8.799999999999985,502.6407200621613
8.899999999999984,502.33907053275294
8.999999999999984,502.0379617431868
9.099999999999984,501.73797654711103
9.199999999999983,501.4414058885425
9.299999999999983,501.15124862320016
9.399999999999983,500.8697890556458
9.499999999999982,500.5987195828246
9.599999999999982,500.3392445121686
9.699999999999982,500.0921681203649
9.799999999999981,499.85796946296784
9.89999999999998,499.6368648882047
9.99999999999998,499.4288606096818
10.09999999999998,499.23379733595004
10.19999999999998,499.0513871926177
10.29999999999998,498.8812446852702
10.399999999999979,498.7229120628166
10.499999999999979,498.5758803493878
10.599999999999978,498.43960660894317
10.699999999999978,498.3135275931127
10.799999999999978,498.19707130021055
10.899999999999977,498.0896659967244
10.999999999999977,497.9907472446465
11.099999999999977,497.8997635433825
11.199999999999976,497.8161803873766
11.299999999999976,497.7394835242693
11.399999999999975,497.66918088802873
11.499999999999975,497.60480407419846
11.599999999999975,497.54590941992336
11.699999999999974,497.49207839139603
11.799999999999974,497.442917255984
11.899999999999974,497.39805663334994
11.999999999999973,497.35715142569455
12.099999999999973,497.3198797861956
12.199999999999973,497.2859422020603
12.299999999999972,497.25506070523784
12.399999999999972,497.22697757213933
12.499999999999972,497.20145432404115
12.599999999999971,497.1782708653448
12.69999999999997,497.15722428226763
12.79999999999997,497.13812757187236
12.89999999999997,497.1208087537077
12.99999999999997,497.1051098904156
13.09999999999997,497.0908858695838
13.199999999999969,497.0780038201929
13.299999999999969,497.0663422071167
13.399999999999968,497.05578963592563
13.499999999999968,497.0462443554712
13.599999999999968,497.0376136741342
13.699999999999967,497.0298128407309
13.799999999999967,497.0227645499343
13.899999999999967,497.0163983540134
13.999999999999966,497.0106501408753
14.099999999999966,497.00546177332325
14.199999999999966,497.0007802109035
14.299999999999965,496.9965571539915
14.399999999999965,496.9927488599115
14.499999999999964,496.98931566609895
14.599999999999964,496.9862215249786
14.699999999999964,496.9834337259702
14.799999999999963,496.9809224979352
14.899999999999963,496.9786608709294
14.999999999999963,496.9766245354286
15.099999999999962,496.97479163770794
15.199999999999962,496.9731422527458
15.299999999999962,496.97165818019033
15.399999999999961,496.97032313147287
15.499999999999961,496.96912247557054
15.59999999999996,496.9680429052035
15.69999999999996,496.96707249834657
15.79999999999996,496.9662004446223
15.89999999999996,496.96541676107125
15.99999999999996,496.9647126925046
16.09999999999996,496.9640803346746
16.19999999999996,496.96351254028326
16.29999999999996,496.9630029443378
16.399999999999963,496.9625456279971
16.499999999999964,496.96213518480874
16.599999999999966,496.9617668444829
16.699999999999967,496.96143634608575
16.79999999999997,496.9611397944266
16.89999999999997,496.96087371078727
16.99999999999997,496.9606349919143
17.099999999999973,496.9604209200675
17.199999999999974,496.9602289675456
17.299999999999976,496.9600568879129
17.399999999999977,496.95990277305845
17.49999999999998,496.9597648169771
